UAV Trajectory Coordinates
Step	X(m)	Y(m)	Z(m)	Distance_from_prev
686	50.000	40.995	17.735	3.182
687	50.000	39.839	17.291	1.238
688	50.000	39.544	16.799	0.573
689	50.000	35.209	16.216	4.374
690	49.272	33.190	15.667	2.215
691	50.000	28.809	16.362	4.495
692	50.000	27.249	15.186	1.953
693	50.000	26.353	15.328	0.907
694	50.000	25.099	15.207	1.261
695	50.000	26.288	13.940	1.737
696	50.000	30.970	13.549	4.698
697	50.000	32.904	13.268	1.955
698	50.000	32.042	12.863	0.952
699	50.000	30.469	12.527	1.608
700	48.909	27.442	10.739	3.681
701	48.679	25.056	10.464	2.413
702	49.788	23.323	11.052	2.139
703	50.000	23.110	11.122	0.309
704	50.000	24.681	12.576	2.141
705	50.000	24.243	12.726	0.463
706	50.000	23.975	13.311	0.644
707	50.000	22.613	13.482	1.373
708	49.122	18.865	15.577	4.382
709	50.000	15.369	16.815	3.812
710	50.000	14.535	16.448	0.911
711	50.000	15.890	15.068	1.934
712	50.000	14.807	14.564	1.194
713	50.000	16.553	15.541	2.000
714	50.000	20.896	16.490	4.446
715	50.000	24.014	19.121	4.079
716	50.000	24.533	19.785	0.843
717	50.000	26.620	19.311	2.141
718	49.765	28.016	19.612	1.447
719	50.000	30.426	19.083	2.479
720	50.000	31.303	19.957	1.239
721	50.000	32.451	19.504	1.235
722	50.000	31.282	20.307	1.418
723	50.000	31.742	20.114	0.499
724	50.000	35.158	17.736	4.162
725	50.000	38.824	14.675	4.776
726	50.000	40.963	13.661	2.368
727	50.000	40.778	13.905	0.306
728	50.000	39.324	14.917	1.771
729	50.000	39.255	15.007	0.114
730	50.000	36.272	14.694	3.000
731	50.000	34.765	14.387	1.538
732	50.000	34.723	13.871	0.518
733	50.000	37.772	13.185	3.126
734	50.000	37.723	13.394	0.214
735	50.000	37.387	13.856	0.572
736	50.000	36.382	13.953	1.009
737	50.000	36.012	13.727	0.433
738	50.000	36.992	14.148	1.066
739	50.000	36.623	13.921	0.433
740	50.000	38.328	13.372	1.792
741	50.000	39.969	13.861	1.712
742	49.617	40.885	13.738	1.000
743	46.098	42.354	12.348	4.059
744	44.772	45.581	10.000	4.205
745	44.116	46.458	10.000	1.095
746	44.703	50.000	10.000	3.590
747	47.566	50.000	10.000	2.863
748	50.000	49.328	10.000	2.525
749	50.000	48.659	10.000	0.669
750	50.000	48.138	10.000	0.522
751	50.000	46.326	10.000	1.812
752	49.395	42.127	11.487	4.495
753	47.026	39.856	12.441	3.418
754	47.001	38.675	12.310	1.188
755	49.121	36.465	11.462	3.178
756	49.070	34.018	11.000	2.490
757	50.000	32.277	11.293	1.996
758	50.000	32.195	13.485	2.193
759	50.000	33.286	13.676	1.107
760	50.000	33.247	14.720	1.045
761	50.000	35.788	16.941	3.375
762	50.000	38.429	17.343	2.672
763	50.000	41.204	16.510	2.898
764	50.000	42.204	16.247	1.034
